seq,sample_id,audio,gt_azimuth_deg,pred_azimuth_deg,error_deg,pred_offset_deg,pred_corrected_azimuth_deg,corrected_error_deg,distance_m
data/test/clock3,0001,data/test/clock3/audio/0001.wav,120.295354,-36.500000,156.795354,77.000000,40.500000,79.795354,2.581685
data/test/clock3,0002,data/test/clock3/audio/0002.wav,120.366771,-40.500000,160.866771,77.000000,36.500000,83.866771,2.584130
data/test/clock3,0003,data/test/clock3/audio/0003.wav,120.386032,-38.500000,158.886032,77.000000,38.500000,81.886032,2.587360
data/test/clock3,0004,data/test/clock3/audio/0004.wav,120.278702,-35.500000,155.778702,77.000000,41.500000,78.778702,2.586084
data/test/clock3,0005,data/test/clock3/audio/0005.wav,120.249073,-32.000000,152.249073,77.000000,45.000000,75.249073,2.587906
data/test/clock3,0006,data/test/clock3/audio/0006.wav,120.295027,-24.000000,144.295027,77.000000,53.000000,67.295027,2.590964
data/test/clock3,0007,data/test/clock3/audio/0007.wav,120.374735,-24.500000,144.874735,77.000000,52.500000,67.874735,2.588764
data/test/clock3,0008,data/test/clock3/audio/0008.wav,120.495137,-26.500000,146.995137,77.000000,50.500000,69.995137,2.589421
data/test/clock3,0009,data/test/clock3/audio/0009.wav,120.642478,-26.000000,146.642478,77.000000,51.000000,69.642478,2.595145
data/test/clock3,0010,data/test/clock3/audio/0010.wav,120.828697,-24.500000,145.328697,77.000000,52.500000,68.328697,2.600616
data/test/clock3,0011,data/test/clock3/audio/0011.wav,121.263165,-26.000000,147.263165,77.000000,51.000000,70.263165,2.614213
data/test/clock3,0012,data/test/clock3/audio/0012.wav,122.055603,-25.000000,147.055603,77.000000,52.000000,70.055603,2.635668
data/test/clock3,0013,data/test/clock3/audio/0013.wav,122.740152,-26.000000,148.740152,77.000000,51.000000,71.740152,2.658677
data/test/clock3,0014,data/test/clock3/audio/0014.wav,123.395741,-30.000000,153.395741,77.000000,47.000000,76.395741,2.676533
data/test/clock3,0015,data/test/clock3/audio/0015.wav,123.716514,-33.000000,156.716514,77.000000,44.000000,79.716514,2.688208
data/test/clock3,0016,data/test/clock3/audio/0016.wav,123.797862,-39.500000,163.297862,77.000000,37.500000,86.297862,2.687230
data/test/clock3,0017,data/test/clock3/audio/0017.wav,123.874333,-43.000000,166.874333,77.000000,34.000000,89.874333,2.689491
data/test/clock3,0018,data/test/clock3/audio/0018.wav,123.696720,-38.500000,162.196720,77.000000,38.500000,85.196720,2.690425
data/test/clock3,0019,data/test/clock3/audio/0019.wav,123.560321,-39.000000,162.560321,77.000000,38.000000,85.560321,2.690728
data/test/clock3,0020,data/test/clock3/audio/0020.wav,123.413063,-35.500000,158.913063,77.000000,41.500000,81.913063,2.685111
data/test/clock3,0021,data/test/clock3/audio/0021.wav,123.373789,-35.500000,158.873789,77.000000,41.500000,81.873789,2.679083
data/test/clock3,0022,data/test/clock3/audio/0022.wav,123.297810,-40.000000,163.297810,77.000000,37.000000,86.297810,2.673576
data/test/clock3,0023,data/test/clock3/audio/0023.wav,122.931507,-39.000000,161.931507,77.000000,38.000000,84.931507,2.661785
data/test/clock3,0024,data/test/clock3/audio/0024.wav,122.629394,-40.000000,162.629394,77.000000,37.000000,85.629394,2.654084
data/test/clock3,0025,data/test/clock3/audio/0025.wav,122.085110,-36.000000,158.085110,77.000000,41.000000,81.085110,2.638627
